id,strategy_name,keywords,slide_count,structure,goal,audience,tone,narrative_arc,key_metrics,sources,emotion_arc,sparkline_beats
11,Workshop Training,"workshop, training, education, how-to, tutorial","20-40","1.Welcome/Objectives 2.Agenda 3.Concept 1 4.Exercise 1 5.Concept 2 6.Exercise 2 7.Concept 3 8.Exercise 3 9.Synthesis 10.Resources 11.Q&A",Teach practical skills,Learners trainees,Patient instructive,Learn→Practice→Apply→Reflect,Skill acquisition completion,Adult learning principles,"warmth→clarity→confidence→confidence→confidence→confidence→clarity→hope","welcome|structure|teaching|practice|teaching|practice|teaching|practice|synthesis|resources|interaction"
12,Case Study Presentation,"case study, success story, customer, results","8-12","1.Customer Introduction 2.Their Challenge 3.Why They Chose Us 4.Implementation 5.Solution Details 6.Results/Metrics 7.Customer Quote 8.Lessons Learned 9.Applicability 10.CTA",Prove value through example,Prospects similar to case,Authentic factual,Challenge→Journey→Transformation,Before/after metrics ROI,Marketing case study best practices,"connection→frustration→trust→hope→confidence→celebration→trust→clarity→urgency","connection|what-is|trust|what-could-be|what-could-be|proof|trust|insight|what-could-be|action"
13,Competitive Analysis,"competitive, analysis, comparison, market","6-10","1.Market Landscape 2.Competitor Overview 3.Feature Comparison Matrix 4.Pricing Comparison 5.Strengths/Weaknesses 6.Our Differentiation 7.Market Positioning 8.Strategic Recommendations",Inform strategic decisions,Internal leadership,Analytical objective,Landscape→Analysis→Strategy,Market share feature gaps,Competitive intelligence,"clarity→evaluation→evaluation→evaluation→clarity→hope→confidence→urgency","overview|evaluation|comparison|comparison|analysis|what-could-be|proof|action"
14,Board Meeting Deck,"board, governance, investor update, quarterly","15-20","1.Agenda 2.Executive Summary 3.Financial Overview 4.Key Metrics 5.Product Update 6.Sales/Marketing 7.Operations 8.Team/Hiring 9.Risks/Challenges 10.Strategic Initiatives 11.Upcoming Milestones 12.Ask/Discussion",Update board on company status,Board members,Professional detailed,Report→Analyze→Discuss→Decide,All key business metrics,Board governance best practices,"clarity→confidence→trust→trust→confidence→confidence→trust→connection→evaluation→hope→confidence→urgency","structure|summary|proof|proof|proof|proof|proof|trust|what-is|what-could-be|proof|action"
15,Webinar Presentation,"webinar, online, education, lead gen","20-30","1.Welcome/Housekeeping 2.Presenter Intro 3.Agenda 4.Hook/Problem 5.Teaching Content 6.Case Study 7.Product Introduction 8.Demo 9.Offer/CTA 10.Q&A 11.Resources",Generate leads educate prospects,Webinar registrants,Educational helpful,Teach→Demonstrate→Offer,Registrations attendance conversion,Webinar marketing best practices,"warmth→trust→clarity→curiosity→confidence→trust→hope→confidence→urgency→connection→clarity","welcome|trust|structure|hook|teaching|trust|what-could-be|proof|action|interaction|resources"
16,Consulting Diagnostic,"consulting, diagnostic, cost, margin, performance, mckinsey, bcg, bain, issue tree",15-30,"1.Cover 2.Executive summary (answer + 3-5 arguments) 3.Agenda 4-N.One section per argument (driver tree, benchmark, waterfall) N+1.Recommendation and first steps N+2.Appendix",Diagnose where value is lost and what to fix first,CFO/COO and the board,"Answer-first, literal, quantified",SCR answer first: Answer→Arguments→Evidence→Actions,"Margin bridge, benchmark gaps, value at stake",deck-studio corpus study; Minto Pyramid Principle,clarity→concern→confidence→commitment,what-could-be|what-is|proof|proof|proof|action
17,Strategy Recommendation,"consulting, strategy, market entry, go no-go, recommendation, options",15-25,1.Cover 2.Executive summary 3.Situation (market facts) 4.Options considered 5.Evaluation (options x criteria) 6.Recommended option: economics 7.Risks and mitigations 8.Roadmap 9.Decision needed,Win a decision between strategic options,CEO and executive committee,"Answer-first, balanced on trade-offs",Recommendation→Options→Evaluation→Plan→Ask,"Market size, share, payback, NPV",deck-studio corpus study,curiosity→evaluation→confidence→urgency,what-could-be|what-is|evaluation|evaluation|proof|trust|action
18,SteerCo Status Update,"steerco, steering committee, transformation, program, status, rag, pmo, decisions",6-12,1.Cover 2.Decisions needed today 3.Overall status (RAG by workstream) 4.Milestones vs plan 5.Budget vs forecast 6.Top risks and mitigations 7.Workstream detail (1 page each) 8.Next steps,Get decisions and keep the program on track,Steering committee,"Factual, decision-led, no spin",Decisions→Status→Variances→Risks→Next steps,"RAG, % complete, budget variance, milestone slippage",deck-studio corpus study,attention→clarity→commitment,action|what-is|what-is|what-is|trust|action
19,Commercial Due Diligence,"due diligence, cdd, investment, target, market, customers, sponsor",20-40,1.Cover 2.Executive summary (investment view) 3.Market size and growth 4.Competitive position 5.Customer evidence 6.Business plan test 7.Risks and upsides 8.Appendix,Test an investment thesis for a buyer,Investment committee,"Evidence-led, hedged where data is thin",Thesis→Market→Position→Plan test→Risks,"Market growth, share, retention, plan vs outside-in",deck-studio corpus study,curiosity→scrutiny→confidence,hook|what-is|proof|proof|evaluation|trust
20,Special Committee Valuation Book,"board book, fairness, special committee, take private, valuation, discussion materials, banker",15-40,"1.Cover 2.Disclaimer 3.Situation overview 4.Valuation summary (football field) 5.Share price performance 6.Trading comps 7.Precedent transactions 8.DCF and sensitivity 9.Premiums paid 10.Appendix (WACC, projections)",Give the board a neutral valuation basis for a decision,Special committee and board,"Neutral, precise, footnoted",Situation→Summary→Analyses→Appendix (fixed sequence),"Implied value per share by method, premium to unaffected price",deck-studio corpus study (SEC EX-99.(c) exhibits),neutral throughout,what-is|evaluation|proof|proof|proof|proof
21,Sell-Side Pitch,"pitch book, sell side, m&a, owner, mandate, buyers, process, investment bank",12-20,"1.Cover 2.Our view in one page (value, buyers, timing) 3.Market and positioning 4.Valuation perspectives 5.Buyer universe 6.Process and timeline 7.Why us 8.Appendix",Win a sale mandate,Founder-owner or board,"Confident, quantified, answer-first",Answer→Value→Buyers→Process→Why us,"Valuation range, buyer capacity, timeline",deck-studio corpus study (board-book grammar + consulting storyline),curiosity→confidence→trust→urgency,what-could-be|what-is|proof|proof|trust|action
